time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-20 07:40:35.640 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,256425082880,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558338035175, , , , ,3145728,1218, , , ,7,4,18,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,1,5,16765952,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 07:41:35.647 UTC, ,125,3168741,1312,22664,224, ,4, ,10, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,256425107456,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558338035175, , , , ,3145728,5565, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18863104,1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,4,2, , , , , , , 
2019-05-20 07:42:35.659 UTC, ,125,3168741,1312,22664,224, ,4, , , , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,256424873984,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558338035175, , , , ,3145728,5565, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18863104,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 07:43:35.671 UTC, ,125,3168741,1312,22664,224, ,4, , , , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,256424857600,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1558338035175, , , , ,3145728,5565, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18863104,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-08-02 11:01:08.857 UTC, ,125,3158773,952,12920, , ,3, ,20,3,0.15, , , , , , , ,3,3, ,2, ,2,1,5, ,17,8, , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221929455616,-1,-1, , , , , ,1,21, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,1218, , ,15,0, , , ,2, , , ,3, , , , ,15, ,2048,1, , , , ,98681,26, , , , , , , , ,1,4,16829952,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-08-02 11:02:08.867 UTC, ,125,3167757,1312,21680,224, ,4, ,14, , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221929463808,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,5646, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18927104,1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,4, , , , , , , , , 
2019-08-02 11:03:08.875 UTC, ,125,3171253,1416,25176,224, ,5, ,25, , , , , , , , , ,5,5, , , ,2,3,5, ,1, , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221929365504,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,9009, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,19975680,1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1,20,1, , , , , , , 
2019-08-02 11:04:08.882 UTC, ,125,3172645,1416,26568,224, ,5, ,25, , , , , , , , , ,5,5, , , ,2,3,5, , , , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221943152640,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,10835, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,19975680,3, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,1,20,1, , , , , , , 
2019-08-02 11:05:08.891 UTC, ,125,3174109,1416,28032,224, ,5, ,32, , , , , , , , , ,5,5, , , ,2,3,5, ,1, , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221881733120,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,11657, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,9,13585168,2, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,29, , , , , , , , 
2019-08-02 11:06:08.900 UTC, ,125,3174109,1416,28032,224, ,5, ,16, , , , , , , , , ,5,5, , , ,2,3,5, , , , , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,221771538432,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1564743668374, , , , ,3145728,11657, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,13585168,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, , , , , , , , 
